Comment,Description,Designator,Footprint,Mounted,Quantity,Value

"100n","Capacitor","C1","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C2","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C3","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C4","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C5","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C6","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C7","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C8","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C9","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C10","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C11","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C12","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C13","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C14","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C15","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C16","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C17","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C18","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C19","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C20","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C21","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C22","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C23","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C24","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C25","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C26","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C27","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C28","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C29","CAPC1608X87N","No","1","1u X5R"
"100n","Capacitor","C30","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C31","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C32","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C33","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C34","CAPC1608X87N","No","1","100n"
"1u X5R","Capacitor","C35","CAPC1608X87N","No","1","1u X5R"
"100n","Capacitor","C36","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C37","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C38","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C40","CAPC1608X87N","No","1","100n"
"100n","Capacitor","C41","CAPC1608X87N","No","1","100n"
"1u X5R","Capacitor","C42","CAPC1608X87N","Yes","1","1u X5R"
"1u X5R","Capacitor","C43","CAPC1608X87N","Yes","1","1u X5R"
"1u X5R","Capacitor","C44","CAPC1608X87N","Yes","1","1u X5R"
"4.7u X5R","Capacitor","C45","CAPC1608X87N","Yes","1","4.7u X5R"
"10u X5R","Capacitor","C46","INDC2012-0805","Yes","1","10u X5R"
"1u X5R","Capacitor","C47","CAPC1608X87N","Yes","1","1u X5R"
"1u X5R","Capacitor","C48","CAPC1608X87N","Yes","1","1u X5R"
"22p","Capacitor","C49","CAPC1608X87N","Yes","1","22p"
"10u X5R","Capacitor","C50","INDC2012-0805","Yes","1","10u X5R"
"4.7u X5R","Capacitor","C51","CAPC1608X87N","Yes","1","4.7u X5R"
"1u X5R","Capacitor","C52","CAPC1608X87N","Yes","1","1u X5R"
"8.2p","Capacitor","C53","CAPC1608X87N","Yes","1","8.2p"
"10u X5R","Capacitor","C54","INDC2012-0805","Yes","1","10u X5R"
"4.7u X5R","Capacitor","C55","CAPC1608X87N","Yes","1","4.7u X5R"
"4.7u X5R","Capacitor","C56","CAPC1608X87N","Yes","1","4.7u X5R"
"6.8p","Capacitor","C57","CAPC1608X87N","Yes","1","6.8p"
"10u X5R","Capacitor","C58","INDC2012-0805","Yes","1","10u X5R"
"33p","Capacitor","C59","CAPC1608X87N","Yes","1","33p"
"47u","Polarized Capacitor Tantalum","C60","TC3528-1411","Yes","1","47u"
"47u","Polarized Capacitor Tantalum","C61","TC3528-1411","Yes","1","47u"
"1u X5R","Capacitor","C62","INDC2012-0805","Yes","1","1u X5R"
"4.7u X5R","Capacitor","C63","CAPC1608X87N","Yes","1","4.7u X5R"
"1u X5R","Capacitor","C64","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C65","CAPC1608X87N","Yes","1","100n"
"10n","Capacitor","C66","CAPC1608X87N","Yes","1","10n"
"100n","Capacitor","C67","CAPC1608X87N","Yes","1","100n"
"10n","Capacitor","C68","CAPC1608X87N","Yes","1","10n"
"10n","Capacitor","C69","CAPC1608X87N","Yes","1","10n"
"10n","Capacitor","C70","CAPC1608X87N","Yes","1","10n"
"100n","Capacitor","C71","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C72","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C73","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C75","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C76","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C77","CAPC1608X87N","Yes","1","100n"
"HDMI","Connector HDMI 19 Male + 1 Shield","CN1","MOLEX_500254-1927","Yes","1","MOLEX 500254-1927"
"USB","5 Pin + 1 Shield USB Receptacle","CN2","TYCO_1734035-1","Yes","1","TYCO_1734035-1"
"DSI","Header, 15-Pin, Dual row","CN3","CONN_2x15_2mm_side","Yes","1",""
"JTAG","Header, 6-Pin","CN4","HDR1X6","Yes","1",""
"IOH","","CN5","Header 10x1 8.5mm","Yes","1",""
"POWER","","CN6","Header 8x1 8.5mm","Yes","1",""
"IOL","","CN7","Header 8x1 8.5mm","Yes","1",""
"AD","","CN8","Header 6x1 8.5mm","Yes","1",""
"BAS170W","Diode","D1","SOD323","Yes","1",""
"BAS170W","Diode","D2","SOD323","Yes","1",""
"BAS170W","Diode","D3","SOD323","Yes","1",""
"BAS170W","Diode","D4","SOD323","Yes","1",""
"BZT52C24S","Zener Diode","D5","SOD323","Yes","1","BZT52C24S"
"BAS170W","Diode","D6","SOD323","Yes","1",""
"IP4292CZ10","HDMI ESD protection diode","D7","SOT1176-1","Yes","1","IP4292CZ10"
"IP4292CZ10","HDMI ESD protection diode","D8","SOT1176-1","Yes","1",""
"BAS170W","Diode","D9","SOD323","Yes","1",""
"XC6SLX9-3TQG144I","Spartan-6 LX 1.2V FPGA, 102 User I/Os, 144-Pin TQFP (0.5mm Pitch), Speed Grade 3, Industrial Grade, Pb-Free","IC1","QFP50P2200X2200X160-144N","Yes","1",""
"M25P80-VMN6P","8 Mbit, 2.7V to 3.6V Serial Flash Embedded Memory","IC2","SOIC127P600X175-8N","Yes","1",""
"ADV7611","HDMI receiver","IC3","TSQFP50P1200X1200-65L","No","1",""
"LM26480","2xLDO, 2xBuck PMIC","IC4","QFN50P400X400-24W2M","Yes","1","LM26480SQ-AA"
"TPS61041","","IC5","SOT23-5AL","Yes","1","TPS61041DBVR"
"TPS61041","","IC6","SOT23-5AL","Yes","1","TPS61041DBVR"
"CP2103","USB-UART bridge","IC7","QFN50P400X400-28W9M","Yes","1","CP2103-GM"
"PRTR5V0U2X","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode","IC8","SOT190P230X110-4N","Yes","1",""
"PRTR5V0U2X","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode","IC9","SOT190P230X110-4N","Yes","1",""
"MT46V32M16P-5B:F","512MBit x16 DDR SDRAM","IC10","TSOP66","Yes","1",""
"PRTR5V0U2X","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode","IC11","SOT190P230X110-4N","Yes","1","PRTR5V0U2X"
"25 MHz 2x3.2mm","SMD oscillator 3.3V (Elfa)","IC12","OSC_5x32mm","Yes","1","25 MHz 2x3.2mm"
"f.bead","Inductor With Magnetic core","L1","INDC1608-0603","Yes","1","f.bead"
"4.7 uH","Inductor With Magnetic core","L2","IND_PANASONIC_ELLVEG","Yes","1","ELLVEG4R7N"
"2.2 uH","Inductor With Magnetic core","L3","IND_PANASONIC_ELLVEG","Yes","1","ELLVEG2R2N"
"2.2 uH","Inductor With Magnetic core","L4","IND_PANASONIC_ELLVEG","Yes","1","ELLVEG2R2N"
"4.7 uH","Inductor With Magnetic core","L5","IND_PANASONIC_ELLVEG","Yes","1","ELLVEG4R7N"
"BSS84","P MOSFET 50V, 0.36W, 0.15A","Q1","SOT23-3","Yes","1","BSS84"
"2N7002","N-Channel MOSFET","Q2","SOT23-3","Yes","1",""
"2N7002","N-Channel MOSFET","Q3","SOT23-3","Yes","1",""
"2N7002","N-Channel MOSFET","Q4","SOT23-3","Yes","1",""
"22R","Resistor","R1A","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R1B","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R1C","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R1D","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R1E","RESC1608X55N","Yes","1","22R"
"160R","Resistor","R2A","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R2B","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R2C","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R2D","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R2E","RESC1608X55N","Yes","1","160R"
"51R","Resistor","R3A","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R3B","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R3C","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R3D","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R3E","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R4A","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R4B","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R4C","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R4D","RESC1608X55N","Yes","1","51R"
"51R","Resistor","R4E","RESC1608X55N","Yes","1","51R"
"160R","Resistor","R5A","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R5B","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R5C","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R5D","RESC1608X55N","Yes","1","160R"
"160R","Resistor","R5E","RESC1608X55N","Yes","1","160R"
"22R","Resistor","R6A","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R6B","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R6C","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R6D","RESC1608X55N","Yes","1","22R"
"22R","Resistor","R6E","RESC1608X55N","Yes","1","22R"
"3.3k","Resistor","R7","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R8","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R9","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R10","RESC1608X55N","Yes","1","3.3k"
"51","Resistor","R11","RESC1608X55N","Yes","1","51"
"51","Resistor","R12","RESC1608X55N","Yes","1","51"
"51","Resistor","R13","RESC1608X55N","Yes","1","51"
"51","Resistor","R14","RESC1608X55N","Yes","1","51"
"51","Resistor","R15","RESC1608X55N","Yes","1","51"
"51","Resistor","R16","RESC1608X55N","Yes","1","51"
"51","Resistor","R17","RESC1608X55N","Yes","1","51"
"51","Resistor","R18","RESC1608X55N","Yes","1","51"
"33","Resistor","R19","RESC1608X55N","Yes","1","33"
"180","Resistor","R20","RESC1608X55N","Yes","1","180"
"220","Resistor","R21","RESC1608X55N","Yes","1","220"
"3.3k","Resistor","R22","RESC1608X55N","Yes","1","3.3k"
"1k","Resistor","R23","RESC1608X55N","Yes","1","1k"
"3.3k","Resistor","R24","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R25","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R26","RESC1608X55N","Yes","1","3.3k"
"1M","Resistor","R27","RESC1608X55N","Yes","1","1M"
"3.3k","Resistor","R28","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R29","RESC1608X55N","Yes","1","3.3k"
"3k3","Resistor","R30","RESC1608X55N","Yes","1","3k3"
"3k3","Resistor","R31","RESC1608X55N","Yes","1","3k3"
"1k","Resistor","R32","RESC1608X55N","No","1","1k"
"3.3k","Resistor","R33","RESC1608X55N","No","1","3.3k"
"3.3k","Resistor","R34","RESC1608X55N","No","1","3.3k"
"100k","Resistor","R35","RESC1608X55N","Yes","1","100k"
"280k","Resistor","R36","RESC1608X55N","Yes","1","280k"
"200k","Resistor","R37","RESC1608X55N","Yes","1","200k"
"750k","Resistor","R38","RESC1608X55N","Yes","1","750k"
"100k","Resistor","R39","RESC1608X55N","Yes","1","100k"
"187k","Resistor","R40","RESC1608X55N","Yes","1","187k"
"464k","Resistor","R41","RESC1608X55N","Yes","1","464k"
"100k","Resistor","R42","RESC1608X55N","Yes","1","100k"
"178k","Resistor","R43","RESC1608X55N","Yes","1","178k"
"100k","Resistor","R44","RESC1608X55N","Yes","1","100k"
"560k","Resistor","R45","RESC1608X55N","Yes","1","560k"
"100k","Resistor","R46","RESC1608X55N","Yes","1","100k"
"100","Resistor","R47","RESC1608X55N","Yes","1","100"
"0","Resistor","R48","RESC1608X55N","Yes","1","0"
"100","Resistor","R67","RESC1608X55N","Yes","1","100"
"1k","Resistor","R68","RESC1608X55N","Yes","1","1k"
"1k","Resistor","R69","RESC1608X55N","Yes","1","1k"
"3.3k","Resistor","R70","RESC1608X55N","Yes","1","3.3k"
"3.3k","Resistor","R71","RESC1608X55N","Yes","1","3.3k"
"0","Resistor","R72","RESC1608X55N","Yes","1","0"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP1","YC124","Yes","1","0R"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP2","YC124","Yes","1","0R"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP3","YC124","Yes","1","0R"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP4","YC124","Yes","1","0R"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP6","YC124","Yes","1","0R"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP7","YC124","No","1","0R"
"0R","Resistor network 0804 PHYCOMP (Farnell)","RP8","YC124","No","1","0R"
